candidate_filer_id,committee_filer_id,link_type,session,active,effective_date,termination_date
1000302,1072446,-12011,1998,I,4/29/98,
1000302,1035419,12015,,I,12/24/77,
1000302,1024303,12015,,I,12/24/77,
1000302,1047575,12015,,I,12/24/77,
1000302,1025178,12015,,I,12/24/77,
1000302,1043672,12015,,I,12/24/77,
1000302,1053057,12011,1991,I,7/19/91,
1000305,1018659,-12011,,I,12/24/77,
1000313,1024272,-12011,,I,12/24/77,
1000314,1022841,12015,,I,12/24/77,
1000316,1023843,-12011,,I,12/24/77,
1000318,1024516,-12011,,I,12/24/77,
1000320,1022732,-12011,,I,12/24/77,
1000320,1031993,12015,,I,12/24/77,
1000320,1020266,-12011,,I,12/24/77,
1000323,1018807,-12011,,I,12/24/77,
1000323,1025963,12013,,I,12/24/77,
1000324,1020222,-12011,,I,12/24/77,
1000326,1025456,-12011,,I,12/24/77,
1000326,1060470,-12011,1993,I,11/9/93,
1000326,1024271,-12011,,I,12/24/77,
1000327,1022701,-12011,,I,12/24/77,
1000329,1024063,-12011,,I,12/24/77,
1000330,1023727,-12011,,I,12/24/77,
1000330,1047495,12015,,I,12/24/77,
1000330,1055326,-12011,1992,I,5/26/92,
1000330,1058438,-12011,1993,I,1/22/93,
1000330,1059130,-12011,1993,I,6/23/93,
1000330,1072145,-12011,1998,I,3/16/98,
1000330,1077542,-12011,1999,I,11/8/99,
1000330,1034174,12015,,I,12/24/77,
1000330,1052231,-12011,1992,I,1/14/92,
1000330,1067265,-12011,1996,I,8/5/96,
1000330,1250933,12011,2001,T,11/27/02,8/3/04
1000330,1072145,12011,1997,T,3/16/98,
1000330,1029143,12011,,I,12/24/77,
1000330,1059130,12011,1993,I,6/23/93,
1000330,1233883,12011,2001,T,3/14/01,
1000331,1029341,12015,,I,12/24/77,
1000331,1036979,12015,,I,12/24/77,
1000331,1041165,12015,,I,12/24/77,
1000331,1049499,12015,,I,12/24/77,
1000331,1047490,12015,,I,12/24/77,
1000331,1030960,12015,,I,12/24/77,
1000331,1020136,-12011,,I,12/24/77,
1000332,1024650,12015,,I,12/24/77,
1000332,1018576,-12011,,I,12/24/77,
1000332,1039047,12015,,I,12/24/77,
1000332,1047861,12015,,I,12/24/77,
1000332,1047679,12015,,I,12/24/77,
1000332,1053133,-12011,1991,I,7/19/91,
1000333,1024461,-12011,,I,12/24/77,
1000333,1018290,-12011,,I,12/24/77,
1000333,1034516,12015,,I,12/24/77,
1000333,1047768,12015,,I,12/24/77,
1000333,1028358,-12011,,I,12/24/77,
1000333,1019788,-12011,,I,12/24/77,
1000334,1024565,-12011,,I,12/24/77,
1000335,1026024,-12011,,I,12/24/77,
1000335,1026023,12014,,I,12/24/77,
1000335,1038436,12015,,I,12/24/77,
1000335,1049819,12015,,I,12/24/77,
1000335,1064511,-12011,1996,I,2/26/96,
1000335,1026018,12014,,I,12/24/77,
1000335,1023587,-12011,,I,12/24/77,
1000335,1030404,12015,,I,12/24/77,
1000335,1048504,-12011,1993,I,11/5/93,
1000335,1259953,12011,2003,Y,11/17/03,
1000335,1018407,12015,,I,12/24/77,
1000335,1065030,12011,1995,Y,10/18/95,
1000335,1072954,-12019,1997,Y,4/9/98,
1000336,1024604,-12011,,I,12/24/77,
1000338,1024992,-12011,,I,12/24/77,
1000340,1027747,-12011,,I,12/24/77,
1000340,1036751,12015,,I,12/24/77,
1000343,1024919,-12011,,I,12/24/77,
1000343,1025579,12014,,I,12/24/77,
1000343,1025601,12014,,I,12/24/77,
1000343,1025648,12014,,I,12/24/77,
1000343,1025783,12014,,I,12/24/77,
1000343,1032783,12015,,I,12/24/77,
1000343,1025804,12014,,I,12/24/77,
1000344,1025010,12011,,I,12/24/77,
1000345,1025558,12014,,I,12/24/77,
1000346,1029406,12015,,I,12/24/77,
1000350,1023955,-12011,,I,12/24/77,
1000351,1024652,-12011,,I,12/24/77,
1000351,1053175,12011,1991,I,1/30/91,
1000351,1075683,12011,1999,T,1/20/99,11/13/03
1000351,1055138,12011,1991,I,3/24/92,
1000352,1023395,-12011,,I,12/24/77,
1000352,1019211,-12011,,I,12/24/77,
1000352,1018863,-12011,,I,12/24/77,
1000353,1027400,-12011,,I,12/24/77,
1000353,1020243,12011,,I,12/24/77,
1000354,1024515,-12011,,I,12/24/77,
1000355,1018482,-12011,,I,12/24/77,
1000355,1025692,12014,,I,12/24/77,
1000355,1033317,12015,,I,12/24/77,
1000355,1030435,12015,,I,12/24/77,
1000355,1027968,-12011,,I,12/24/77,
1000356,1018854,-12011,,I,12/24/77,
1000356,1040577,12015,,I,12/24/77,
1000356,1040513,-12011,,I,12/24/77,
1000356,1044829,12015,,I,12/24/77,
1000356,1047489,12015,,I,12/24/77,
1000357,1024284,-12011,,I,12/24/77,
1000358,1024648,-12011,,I,12/24/77,
1000358,1050012,12015,,I,12/24/77,
1000361,1024334,12015,,I,12/24/77,
1000362,1028513,-12011,,I,12/24/77,
1000362,1035136,12015,,I,12/24/77,
1000362,1035595,12015,,I,12/24/77,
1000362,1032944,12015,,I,12/24/77,
1000362,1047790,12011,,I,12/24/77,
1000363,1023702,-12011,,I,12/24/77,
1000364,1020061,-12011,,I,12/24/77,
1000364,1025459,12015,,I,12/24/77,
1000364,1025685,12014,,I,12/24/77,
1000364,1025791,12013,,I,12/24/77,
1000365,1023159,-12011,,I,12/24/77,
1000367,1024091,-12011,,I,12/24/77,
1000367,1032023,12015,,I,12/24/77,
1000367,1029089,12011,,I,12/24/77,
1000368,1026599,12015,,I,12/24/77,
1000368,1024054,12015,,I,12/24/77,
1000371,1025685,12014,,I,12/24/77,
1000372,1024732,-12011,,I,12/24/77,
1000372,1025047,-12011,,I,12/24/77,
1000372,1067045,-12011,1996,I,7/9/96,
1000372,1018478,12015,,I,12/24/77,
1000373,1023899,-12011,,I,12/24/77,
1000376,1024109,-12011,,I,12/24/77,
1000376,1025791,12014,,I,12/24/77,
1000377,1022727,-12011,,I,12/24/77,
1000377,1024907,-12011,,I,12/24/77,
1000379,1024084,-12011,,I,12/24/77,
1000379,1023106,12015,,I,12/24/77,
1000379,1024877,12015,,I,12/24/77,
1000380,1025067,12015,,I,12/24/77,
1000382,1023106,-12011,,I,12/24/77,
1000382,1018469,12015,,I,12/24/77,
1000383,1022762,-12011,,I,12/24/77,
1000390,1024262,-12011,,I,12/24/77,
1000391,1024852,-12011,,I,12/24/77,
1000395,1024869,-12011,,I,12/24/77,
1000397,1024469,-12011,,I,12/24/77,
