candidate,office,district,party,year,votes,total_votes,vote_share,winning_votes,winner,incumbent
Jim Cooper,A,9,DEM,2016,109979,164708,66.77210578721132,109979,1,1
Tim Gorsulowsky,A,9,REP,2016,54729,164708,33.2278942127887,109979,0,0
Jim Frazier,A,11,DEM,2012,96893,156313,61.98652703230058,96893,1,0
Mike Hudson,A,11,REP,2012,59420,156313,38.01347296769942,96893,0,0
Jim Nielsen,A,2,REP,2008,118149,180659,65.39890069135775,118149,1,0
Paul R. Singh,A,2,DEM,2008,62510,180659,34.60109930864225,118149,0,0
Jim Nielsen,A,2,REP,2010,118120,118120,100.0,118120,1,1
Jim Patterson,A,23,REP,2014,82417,82417,100.0,82417,1,1
Jim Pell,A,1,REP,2008,56870,194647,29.216992812630043,137777,0,0
Wesley Chesbro,A,1,DEM,2008,137777,194647,70.78300718736996,137777,1,0
Jim Silva,A,67,REP,2006,75001,117104,64.0464885913376,75001,1,0
Ray Roberts,A,67,DEM,2006,42103,117104,35.953511408662386,75001,0,0
Jim Silva,A,67,REP,2008,108502,174124,62.313064253061036,108502,1,1
Steve Blount,A,67,DEM,2008,65622,174124,37.686935746938964,108502,0,0
Jim Silva,A,67,REP,2010,91108,137543,66.23964869168188,91108,1,1
Rosalind Freeman,A,67,DEM,2010,46435,137543,33.76035130831813,91108,0,0
Jim Wood,A,2,DEM,2014,85045,130598,65.11968024012619,85045,1,0
Matt Heath,A,2,REP,2014,45553,130598,34.880319759873814,85045,0,0
Jim Wood,A,2,DEM,2016,138020,189265,72.92420679998943,138020,1,1
Ken Anton,A,2,LIB,2016,51245,189265,27.075793200010565,138020,0,0
Jimmy Gomez,A,51,DEM,2012,63292,105910,59.760173732414316,63292,1,0
Luis Lopez,A,51,DEM,2012,42618,105910,40.239826267585684,63292,0,0
Jimmy Gomez,A,51,DEM,2014,42261,50538,83.622224860501,42261,1,1
Stephen C. Smith,A,51,REP,2014,8277,50538,16.37777513949899,42261,0,0
Jimmy Gomez,A,51,DEM,2016,110036,127760,86.12711333750784,110036,1,1
Mike Everling,A,51,LIB,2016,17724,127760,13.872886662492173,110036,0,0
"Joe Baca, Jr.",A,62,DEM,2004,51407,79617,64.56786867126367,51407,1,0
Marge Mendoza-Ware,A,62,REP,2004,28210,79617,35.432131328736325,51407,0,0
Joe Coto,A,23,DEM,2004,62569,93217,67.1218769108639,62569,1,0
Mark Patrosso,A,23,REP,2004,26051,93217,27.946619178905134,62569,0,0
Warner S. Bloomberg 3rd,A,23,GRN,2004,4597,93217,4.931503910230966,62569,0,0
Joe Coto,A,23,DEM,2006,49977,67648,73.8780156102176,49977,1,1
Mark Patrosso,A,23,REP,2006,17671,67648,26.121984389782405,49977,0,0
Joe Coto,A,23,DEM,2008,81523,106399,76.62008101579903,81523,1,1
Mark S. Patrosso,A,23,REP,2008,24876,106399,23.37991898420098,81523,0,0
Joe M. Gardner,A,48,REP,2012,50927,125569,40.55698460607316,74642,0,0
Roger Hernandez,A,48,DEM,2012,74642,125569,59.44301539392684,74642,1,0
Joe M. Gardner,A,48,REP,2014,25284,55415,45.62663538753045,30131,0,0
Roger Hernandez,A,48,DEM,2014,30131,55415,54.373364612469544,30131,1,1
Joel Anderson,A,77,REP,2008,92621,167073,55.437443512716,92621,1,1
Raymond Lutz,A,77,DEM,2008,64949,167073,38.87462366749864,92621,0,0
Richard G. Belitz,A,77,LIB,2008,9503,167073,5.687932819785364,92621,0,0
Joel Anderson,S,36,REP,2010,193573,306422,63.172030728864115,193573,1,0
Michael S. Metti,S,36,LIB,2010,11737,306422,3.8303385527148834,193573,0,0
Paul Clay,S,36,DEM,2010,101112,306422,32.997630718421,193573,0,0
Joel Block,A,72,DEM,2014,34793,100943,34.46796707052495,66150,0,0
Travis Allen,A,72,REP,2014,66150,100943,65.53203292947505,66150,1,1
Johan Klehs,A,18,DEM,2004,106365,127270,83.57429087766167,106365,1,0
Lou Filipovich,A,18,(W/I),2004,17,127270,0.013357429087766166,106365,0,0
Ronald J. Colfer,A,18,LIB,2004,20888,127270,16.41235169325057,106365,0,0
John A. Perez,A,46,DEM,2008,51556,60736,84.88540569020022,51556,1,0
"Manuel ""Manny"" Aldana Jr.",A,46,REP,2008,9180,60736,15.11459430979979,51556,0,0
John A. Perez,A,46,DEM,2010,38566,38566,100.0,38566,1,1
John A. P̩rez,A,53,DEM,2012,61651,74454,82.80414752733232,61651,1,0
Jose Trinidad Aguilar,A,53,REP,2012,12803,74454,17.19585247266769,61651,0,0
John Brantuk,A,56,REP,2004,44559,111853,39.83710763233888,67294,0,0
Rudy Bermudez,A,56,DEM,2004,67294,111853,60.16289236766112,67294,1,1
John C. Goya,A,70,REP,2014,27755,76733,36.170878240131366,48978,0,0
Patrick O'Donnell,A,70,DEM,2014,48978,76733,63.829121759868634,48978,1,0
John Coffey,A,33,DEM,2012,51215,125051,40.95529024158143,73836,0,0
Tim Donnelly,A,33,REP,2012,73836,125051,59.04470975841857,73836,1,0
John Gould,A,8,REP,2006,40238,118409,33.98221418979976,78171,0,0
Lois Wolk,A,8,DEM,2006,78171,118409,66.01778581020024,78171,1,1
John J. Benoit,A,64,REP,2004,96606,157726,61.24925503721644,96606,1,1
Robert Melsh,A,64,DEM,2004,61120,157726,38.750744962783564,96606,0,0
John J. Benoit,A,64,REP,2006,66501,108815,61.11381702890226,66501,1,1
Paul M. Rasso,A,64,DEM,2006,42314,108815,38.88618297109773,66501,0,0
John Laird,A,27,DEM,2006,99530,141941,70.12068394614663,99530,1,1
Michael Morrison,A,27,REP,2006,42411,141941,29.879316053853362,99530,0,0
John MacMurray,A,72,DEM,2008,65216,144282,45.200371494711746,79066,0,0
Michael D. (Mike) Duvall,A,72,REP,2008,79066,144282,54.799628505288254,79066,1,1
John McCann,A,78,REP,2008,75350,169288,44.509947545012054,93938,0,0
Marty Block,A,78,DEM,2008,93938,169288,55.490052454987946,93938,1,0
John Moore,A,79,REP,2016,60827,174907,34.77676708193497,114080,0,0
Shirley N. Weber,A,79,DEM,2016,114080,174907,65.22323291806504,114080,1,1
John Munn,A,4,REP,2012,64946,173027,37.535182370381506,108081,0,0
Mariko Yamada,A,4,DEM,2012,108081,173027,62.464817629618494,108081,1,0
John R. Crockford,A,29,GRN,2004,5150,152693,3.372780677568717,95209,0,0
Michael R. Macias,A,29,DEM,2004,52334,152693,34.27400077279247,95209,0,0
Mike Villines,A,29,REP,2004,95209,152693,62.353218549638825,95209,1,0
John R. Munn,A,8,REP,2004,59842,161013,37.16594312260501,101171,0,0
Lois Wolk,A,8,DEM,2004,101171,161013,62.83405687739499,101171,1,1
John Renison,S,39,REP,2016,155053,413739,37.4760416591136,258686,0,0
Toni Atkins,S,39,DEM,2016,258686,413739,62.52395834088641,258686,1,0
Johnathon Levar Ervin,S,21,DEM,2016,142886,302929,47.168148311980694,160043,0,0
Scott Wilk,S,21,REP,2016,160043,302929,52.831851688019306,160043,1,0
Jon Taleb,A,65,PF,2006,3358,112933,2.973444431654167,67669,0,0
Paul Cook,A,65,REP,2006,67669,112933,59.91959834592192,67669,1,0
Rita Ramirez-Dean,A,65,DEM,2006,41906,112933,37.106957222423915,67669,0,0
Jonathan Zachariou,A,7,REP,2012,41735,138157,30.20838611145291,96422,0,0
Roger Dickinson,A,7,DEM,2012,96422,138157,69.79161388854709,96422,1,0
Jorge Lopez,A,67,DEM,2016,60996,168650,36.167210198636226,107654,0,0
Melissa Melendez,A,67,REP,2016,107654,168650,63.832789801363774,107654,1,1
Jorge Salomon Fuentes,A,38,DEM,2014,32095,95344,33.66231750293673,63249,0,0
Scott Wilk,A,38,REP,2014,63249,95344,66.33768249706327,63249,1,0
"Jose ""Joe"" Moreno",A,69,REP,2012,27354,84305,32.446474111855764,56951,0,0
Tom Daly,A,69,DEM,2012,56951,84305,67.55352588814424,56951,1,0
Jose Medina,A,61,DEM,2014,34160,58133,58.76180482686254,34160,1,1
Rudy Aranda,A,61,REP,2014,23973,58133,41.23819517313746,34160,0,0
Jose Solorio,A,69,DEM,2006,28339,43193,65.61016831431019,28339,1,0
Ryan Gene Williams,A,69,REP,2006,14854,43193,34.389831685689806,28339,0,0
Jose Solorio,A,69,DEM,2010,36436,55709,65.40415372740492,36436,1,1
Robert M. Hammond,A,69,REP,2010,19273,55709,34.5958462725951,36436,0,0
Joseph Alexander Rubay,S,7,REP,2016,135122,405607,33.3135276264956,270485,0,0
Steve Glazer,S,7,DEM,2016,270485,405607,66.6864723735044,270485,1,0
Josh Hale,A,78,LIB,2004,4969,156743,3.170157518996063,76886,0,0
Patty Davis,A,78,DEM,2004,74888,156743,47.77757220418137,76886,0,0
Shirley Horton,A,78,REP,2004,76886,156743,49.05227027682257,76886,1,1
Josh Newman,S,29,DEM,2016,160230,317962,50.39281423566339,160230,1,0
Ling Ling Chang,S,29,REP,2016,157732,317962,49.60718576433662,160230,0,0
Joy D. Delepine,A,14,REP,2014,31298,100623,31.1042207050078,69325,0,0
Susan A. Bonilla,A,14,DEM,2014,69325,100623,68.8957792949922,69325,1,1
Juan Arambula,A,31,DEM,2004,49738,86234,57.6779460537607,49738,1,0
Paul Betancourt,A,31,REP,2004,36496,86234,42.3220539462393,49738,0,0
Juan Arambula,A,31,DEM,2006,45004,45004,100.0,45004,1,1
Judy Chu,A,49,DEM,2004,62075,94365,65.78180469453717,62075,1,1
Laura Brown,A,49,LIB,2004,8363,94365,8.862396015471838,62075,0,0
Sandra L. Needs,A,49,REP,2004,23927,94365,25.355799289990994,62075,0,0
Julia Brownley,A,41,DEM,2008,117761,178111,66.11663513202441,117761,1,1
Mark Bernsley,A,41,REP,2008,60350,178111,33.883364867975594,117761,0,0
Julia Brownley,A,41,DEM,2010,84222,143302,58.77238279996092,84222,1,1
Linda Piera-́vila,A,41,GRN,2010,5837,143302,4.073216005359312,84222,0,0
Terry Rathbun,A,41,REP,2010,53243,143302,37.154401194679764,84222,0,0
Julie Craven,A,11,REP,2010,36864,118733,31.04781316062089,81869,0,0
Susan Bonilla,A,11,DEM,2010,81869,118733,68.95218683937911,81869,1,0
Julie Griffith-Flatter,S,1,DEM,2012,150111,413367,36.314219567599736,263256,0,0
Ted Gaines,S,1,REP,2012,263256,413367,63.685780432400264,263256,1,0
"K. ""Jeffrey"" Jafri",A,13,REP,2012,41595,120371,34.555665401134824,78776,0,0
Susan Talamantes Eggman,A,13,DEM,2012,78776,120371,65.44433459886517,78776,1,0
Karen Bass,A,47,DEM,2008,134003,157645,85.00301309905167,134003,1,1
Lady Cage-Barile,A,47,REP,2008,23642,157645,14.996986900948334,134003,0,0
Karen Brooks,A,1,REP,2010,61414,159664,38.464525503557475,98250,0,0
Wesley Chesbro,A,1,DEM,2010,98250,159664,61.53547449644253,98250,1,1
Karen R. Underwood,A,74,DEM,2004,68180,172900,39.4331983805668,99348,0,0
Mark Wyland,A,74,REP,2004,99348,172900,57.4598033545402,99348,1,1
Paul King,A,74,LIB,2004,5372,172900,3.1069982648930017,99348,0,0
Karina Onofre,A,74,DEM,2016,89362,203839,43.839500782480286,114477,0,0
Matthew Harper,A,74,REP,2016,114477,203839,56.160499217519714,114477,1,1
Karl Abrams,A,53,PF,2006,2997,129092,2.3216000991540917,75491,0,0
Mary Jo Ford,A,53,REP,2006,47534,129092,36.82180150590277,75491,0,0
Peter Luke Thottam,A,53,GRN,2006,3070,129092,2.3781489170514054,75491,0,0
Ted W. Lieu,A,53,DEM,2006,75491,129092,58.478449477891736,75491,1,0
Kathleen Henry,A,40,DEM,2014,31309,70612,44.3394890386903,39303,0,0
Marc Steinorth,A,40,REP,2014,39303,70612,55.6605109613097,39303,1,0
Keith D. Curry,A,74,REP,2014,40896,100966,40.50472436265674,60070,0,0
Matthew Harper,A,74,REP,2014,60070,100966,59.49527563734326,60070,1,0
Ken Anton,A,1,LIB,2004,10817,195561,5.53126645905881,120157,0,0
Patty Berg,A,1,DEM,2004,120157,195561,61.442209847566744,120157,1,1
Ray Tyrone,A,1,REP,2004,64587,195561,33.02652369337444,120157,0,0
Ken Arnold,A,68,DEM,2008,61239,133273,45.95004239418336,72034,0,0
Van Tran,A,68,REP,2008,72034,133273,54.04995760581664,72034,1,1
Ken Cooley,A,8,DEM,2012,92630,170636,54.285144986989856,92630,1,0
Peter Tateishi,A,8,REP,2012,78006,170636,45.71485501301015,92630,0,0
Ken Cooley,A,8,DEM,2016,104552,183400,57.00763358778625,104552,1,1
Nick Bloise,A,8,REP,2016,78848,183400,42.99236641221374,104552,0,0
Kenny Coble,A,52,REP,2012,34267,100832,33.9842510314186,66565,0,0
Norma J. Torres,A,52,DEM,2012,66565,100832,66.0157489685814,66565,1,0
Kevin D. Melton,A,78,REP,2016,65134,210984,30.871535282296286,145850,0,0
Todd Gloria,A,78,DEM,2016,145850,210984,69.12846471770371,145850,1,0
Kevin De Leon,A,45,DEM,2006,45106,54188,83.2398316970547,45106,1,0
Samantha E. Allen-Newman,A,45,REP,2006,9082,54188,16.760168302945303,45106,0,0
Kevin De Leon,A,45,DEM,2008,70869,86375,82.04804630969609,70869,1,1
Phillip Alexander,A,45,REP,2008,15506,86375,17.951953690303906,70869,0,0
Kevin De Leon,S,22,DEM,2010,90557,90557,100.0,90557,1,0
Kevin De Leon,S,24,DEM,2014,57412,87260,65.79417831767132,57412,1,0
Peter Choi,S,24,DEM,2014,29848,87260,34.205821682328676,57412,0,0
"Kevin J. Lincoln, II",A,13,REP,2016,46883,133198,35.19797594558477,86315,0,0
Susan Talamantes Eggman,A,13,DEM,2016,86315,133198,64.80202405441523,86315,1,1
Kevin Jeffries,A,66,REP,2006,62582,101663,61.558285708664904,62582,1,0
Laurel Nicholson,A,66,DEM,2006,39081,101663,38.4417142913351,62582,0,0
Kevin Mc Carthy,A,32,REP,2004,129510,164640,78.6625364431487,129510,1,1
Marvin Armas,A,32,DEM,2004,35130,164640,21.337463556851315,129510,0,0
Kevin McCarty,A,7,DEM,2014,46983,80034,58.70380088462404,46983,1,0
Steve Cohn,A,7,DEM,2014,33051,80034,41.29619911537596,46983,0,0
Kevin McCarty,A,7,DEM,2016,111112,159209,69.79002443329209,111112,1,1
Ryan K. Brown,A,7,REP,2016,48097,159209,30.209975566707914,111112,0,0
Kevin Mullin,A,22,DEM,2012,126519,177203,71.39777543269584,126519,1,0
Mark Gilham,A,22,REP,2012,50684,177203,28.602224567304162,126519,0,0
Kevin Mullin,A,22,DEM,2014,73940,104721,70.6066596002712,73940,1,1
Mark Gilham,A,22,REP,2014,30781,104721,29.3933403997288,73940,0,0
Kevin O'Neal,A,14,LIB,2004,8632,182347,4.733831650644102,141184,0,0
Lance Montauk,A,14,REP,2004,32531,182347,17.84016188914542,141184,0,0
Loni Hancock,A,14,DEM,2004,141184,182347,77.42600646021047,141184,1,1
Kim Tran,A,76,REP (W/I),2006,1335,114797,1.1629223760202791,73932,0,0
Lori R. Saldana,A,76,DEM,2006,73932,114797,64.40237985313205,73932,1,0
Ralph Denney,A,76,REP,2006,39530,114797,34.43469777084767,73932,0,0
Kristin Olsen,A,25,REP,2010,106715,106715,100.0,106715,1,0
Larry Johnson,S,14,DEM,2010,96835,287932,33.63120458997263,191097,0,0
Tom Berryhill,S,14,REP,2010,191097,287932,66.36879541002737,191097,1,0
Laura A. Peter,A,13,REP,2010,24741,144915,17.07276679432771,120174,0,0
Tom Ammiano,A,13,DEM,2010,120174,144915,82.9272332056723,120174,1,1
Laura Richardson,A,55,DEM,2006,50006,73427,68.1030138777289,50006,1,0
Margherita Palumbo Underhill,A,55,REP,2006,23421,73427,31.896986122271098,50006,0,0
Lawrence R. Wiesner,S,2,REP,2006,97611,284646,34.29206804241057,187035,0,0
"Patricia ""Pat"" Wiggins",S,2,DEM,2006,187035,284646,65.70793195758942,187035,1,0
Lawrence R. Wiesner,S,2,REP,2014,80778,268920,30.037929495760824,188142,0,0
Mike McGuire,S,2,DEM,2014,188142,268920,69.96207050423918,188142,1,0
Lee H. Chauser,S,33,PF,2012,38671,197378,19.5923557843326,158707,0,0
Ricardo Lara,S,33,DEM,2012,158707,197378,80.40764421566739,158707,1,0
Leigh N. Wolf,A,14,REP,2006,26140,143019,18.277291828358468,116879,0,0
Loni Hancock,A,14,DEM,2006,116879,143019,81.72270817164153,116879,1,1
Leland Y. Yee,S,8,DEM,2006,179556,230226,77.99119126423602,179556,1,0
Michael Skipakevich,S,8,REP,2006,50670,230226,22.00880873576399,179556,0,0
Lenore Albert-Sheridan,A,72,DEM,2016,71332,169667,42.042353551368265,98335,0,0
Travis Allen,A,72,REP,2016,98335,169667,57.95764644863173,98335,1,1
Leo Hamel,A,71,REP,2016,56184,164233,34.20993344821077,108049,0,0
Randy Voepel,A,71,REP,2016,108049,164233,65.79006655178922,108049,1,0
Lincoln Pickard,A,80,REP,2016,30917,139572,22.15129108990342,108655,0,0
Lorena Gonzalez,A,80,DEM,2016,108655,139572,77.84870891009658,108655,1,1
Linda Halderman,A,29,REP,2010,89016,132140,67.36491599818375,89016,1,0
Michael J. Esswein,A,29,DEM,2010,43124,132140,32.63508400181625,89016,0,0
Linda K. Jones,A,36,DEM,2008,74841,154343,48.49005137907129,79502,0,0
Steve Knight,A,36,REP,2008,79502,154343,51.50994862092871,79502,1,0
Linda K. Jones,A,36,DEM,2010,48943,115255,42.46496898182291,66312,0,0
Steve Knight,A,36,REP,2010,66312,115255,57.53503101817709,66312,1,1
Lloyd E. Levine,A,40,DEM,2004,69421,119744,57.974512292891504,69421,1,1
Mark Isler,A,40,REP,2004,50323,119744,42.025487707108496,69421,0,0
Lloyd E. Levine,A,40,DEM,2006,50807,80132,63.404133180252586,50807,1,1
Rick Montaine,A,40,REP,2006,29325,80132,36.59586681974742,50807,0,0
Loni Hancock,S,9,DEM,2012,300994,350981,85.75791851980593,300994,1,1
Mary Catherine McIlroy,S,9,PF,2012,49987,350981,14.242081480194086,300994,0,0
Lorena Gonzalez,A,80,DEM,2014,43362,43362,100.0,43362,1,0
Lou Correa,S,34,DEM,2006,56534,112587,50.21361258404612,56534,1,0
Lynn Daucher,S,34,REP,2006,55142,112587,48.97723538241537,56534,0,0
Otto Bade,S,34,IND (W/I),2006,911,112587,0.8091520335385081,56534,0,0
Lou Correa,S,34,DEM,2010,88892,135269,65.71498273809964,88892,1,1
Lucille Kring,S,34,REP,2010,46377,135269,34.285017261900364,88892,0,0
Lou Filipovich,A,18,REP,2008,33596,149376,22.490895458440445,115780,0,0
Mary Hayashi,A,18,DEM,2008,115780,149376,77.50910454155957,115780,1,1
Lucilla M. Esguerra,A,48,PF,2008,11173,86452,12.923934668949244,75279,0,0
Mike Davis,A,48,DEM,2008,75279,86452,87.07606533105076,75279,1,1
Luis Alejo,A,28,DEM,2010,56098,89362,62.7761240795864,56098,1,0
Robert Bernosky,A,28,REP,2010,33264,89362,37.2238759204136,56098,0,0
Luis Alejo,A,30,DEM,2012,79141,121073,65.36634922732566,79141,1,0
Rob Bernosky,A,30,REP,2012,41932,121073,34.633650772674336,79141,0,0
Luis Alejo,A,30,DEM,2014,43431,72618,59.80748574733538,43431,1,1
Mark Starritt,A,30,REP,2014,29187,72618,40.19251425266463,43431,0,0
Lydia A. Gutierrez,S,25,REP,2008,70199,249853,28.096120518865092,179654,0,0
"Roderick ""Rod"" Wright",S,25,DEM,2008,179654,249853,71.90387948113491,179654,1,0
Mae Cendaña Torlakson,A,14,DEM,2016,67300,174953,38.46747412162124,107653,0,0
Tim Grayson,A,14,DEM,2016,107653,174953,61.53252587837876,107653,1,0
Manuel Cosme,A,8,REP,2008,57883,170407,33.96750133503905,112524,0,0
Mariko Yamada,A,8,DEM,2008,112524,170407,66.03249866496095,112524,1,0
Manuel Ramirez,A,32,REP,2016,28502,81558,34.94690894823316,53056,0,0
Rudy Salas,A,32,DEM,2016,53056,81558,65.05309105176684,53056,1,1
Marc Berman,A,24,DEM,2016,92419,169781,54.434241758500654,92419,1,0
Vicki Veenker,A,24,DEM,2016,77362,169781,45.565758241499346,92419,0,0
Marc Levine,A,10,DEM,2012,96421,188394,51.180504686985785,96421,1,0
Michael Allen,A,10,DEM,2012,91973,188394,48.819495313014215,96421,0,0
Marc Levine,A,10,DEM,2016,140207,205562,68.20667243945866,140207,1,1
"Veronica ""Roni"" Jacobi",A,10,DEM,2016,65355,205562,31.793327560541346,140207,0,0
Marge Mendoza-Ware,A,62,REP,2006,15704,49451,31.756688439060888,33747,0,0
Wilmer Amina Carter,A,62,DEM,2006,33747,49451,68.24331156093912,33747,1,0
Mari Goodman,A,34,DEM,2012,47254,153638,30.756713833817155,106384,0,0
Shannon Grove,A,34,REP,2012,106384,153638,69.24328616618286,106384,1,0
Marie Dominguez-Gasson,A,22,REP,2004,38746,130307,29.734396463735642,91561,0,0
Sally J. Lieber,A,22,DEM,2004,91561,130307,70.26560353626436,91561,1,1
Marie Waldron,A,75,REP,2012,98686,157469,62.67011284760811,98686,1,0
Matthew Herold,A,75,DEM,2012,58783,157469,37.3298871523919,98686,0,0
Marie Waldron,A,75,REP,2014,66152,95913,68.97083815541167,66152,1,1
Nicholas Shestople,A,75,DEM,2014,29761,95913,31.029161844588327,66152,0,0
Mariko Yamada,A,8,DEM,2010,79846,129643,61.58913323511489,79846,1,1
Michelle P. Connor,A,8,REP,2010,49797,129643,38.41086676488511,79846,0,0
Mario A. Guerra,S,32,REP,2014,61718,129311,47.728344843052795,67593,0,0
Tony Mendoza,S,32,DEM,2014,67593,129311,52.271655156947205,67593,1,0
Mark DeSaulnier,S,7,DEM,2012,229105,372812,61.4532257545358,229105,1,1
Mark P. Meuser,S,7,REP,2012,143707,372812,38.5467742454642,229105,0,0
Mark Leno,A,13,DEM,2006,110937,127697,86.87518109274298,110937,1,1
"Ramiro Maldonado, Jr.",A,13,REP,2006,16760,127697,13.124818907257021,110937,0,0
Mark Leno,S,3,DEM,2008,326755,407372,80.21047101911766,326755,1,0
Sashi McEntee,S,3,REP,2008,80617,407372,19.789528980882338,326755,0,0
Mark Ridley-Thomas,A,48,DEM,2004,68289,76622,89.12453342382084,68289,1,1
Sebastian Alexander,A,48,REP,2004,8333,76622,10.875466576179166,68289,0,0
Mark Stone,A,29,DEM,2012,137652,199709,68.92628774867433,137652,1,0
Tom Walsh,A,29,REP,2012,62057,199709,31.07371225132568,137652,0,0
Mark Stone,A,29,DEM,2014,88265,127168,69.40818444891796,88265,1,1
Palmer Kain,A,29,REP,2014,38903,127168,30.591815551082036,88265,0,0
Mark Stone,A,29,DEM,2016,156703,216948,72.23067278794919,156703,1,1
Sierra Roberts,A,29,REP,2016,60245,216948,27.769327212050815,156703,0,0
Martha E. Flores-Gibson,A,70,REP,2016,53805,161194,33.37903395908036,107389,0,0
Patrick O'Donnell,A,70,DEM,2016,107389,161194,66.62096604091964,107389,1,1
Martin Garrick,A,74,REP,2006,72980,125727,58.0464021252396,72980,1,0
Roxana Folescu,A,74,DEM,2006,52747,125727,41.9535978747604,72980,0,0
Marty Block,A,78,DEM,2010,72036,121491,59.293280983776576,72036,1,1
Rick L. Powell,A,78,REP,2010,49455,121491,40.706719016223424,72036,0,0
Mary England,A,79,REP,2012,58424,152594,38.287219680983526,94170,0,0
Shirley Weber,A,79,DEM,2012,94170,152594,61.71278031901648,94170,1,0
Mary Hayashi,A,18,DEM,2010,85237,113361,75.19076225509656,85237,1,1
Michael Havig,A,18,REP,2010,28124,113361,24.809237744903452,85237,0,0
Matt Dababneh,A,45,DEM,2014,45321,79376,57.09660350735739,45321,1,0
Susan Shelley,A,45,REP,2014,34055,79376,42.903396492642614,45321,0,0
Matthew Gene Craffey,A,50,REP,2016,54016,212983,25.361648582281216,158967,0,0
Richard Bloom,A,50,DEM,2016,158967,212983,74.63835141771878,158967,1,1
Melissa Manfre,A,5,LIB,2004,6524,174129,3.746647600342275,104895,0,0
Roger Niello,A,5,REP,2004,104895,174129,60.23982220078218,104895,1,0
Sandra A. Carey,A,5,DEM,2004,62710,174129,36.01353019887555,104895,0,0
Melissa Melendez,A,67,REP,2012,67232,128462,52.33609939125967,67232,1,0
Phil Paule,A,67,REP,2012,61230,128462,47.66390060874033,67232,0,0
Mervin Evans,A,62,DEM,2012,37957,136004,27.908737978294756,98047,0,0
Steven Bradford,A,62,DEM,2012,98047,136004,72.09126202170525,98047,1,0
Mervyn M. Dymally,A,52,DEM,2004,59923,59923,100.0,59923,1,1
Mervyn M. Dymally,A,52,DEM,2006,37959,37959,100.0,37959,1,1
Mesbah Islam,A,73,DEM,2016,65662,210315,31.220787865820316,144653,0,0
William (Bill) Brough,A,73,REP,2016,144653,210315,68.77921213417967,144653,1,1
"Michael ""Mickey"" Harrington",A,3,DEM,2006,56101,143859,38.99721254839809,87758,0,0
Rick Keene,A,3,REP,2006,87758,143859,61.00278745160191,87758,1,1
Michael Breyer,A,19,DEM,2012,66200,159058,41.62003797356939,92858,0,0
Phil Ting,A,19,DEM,2012,92858,159058,58.37996202643061,92858,1,0
Michael J. Rubio,S,16,DEM,2010,71334,118051,60.426425866786396,71334,1,0
Tim Thiesen,S,16,REP,2010,46717,118051,39.57357413321361,71334,0,0
Michael M. Agbaba,A,43,REP,2006,26350,88517,29.7682930962414,55871,0,0
Paul Krekorian,A,43,DEM,2006,55871,88517,63.11894890247072,55871,1,0
Steve Myers,A,43,LIB,2006,6296,88517,7.112758001287888,55871,0,0
Michael Mendez,A,61,LIB,2008,6517,100805,6.464957095382173,61004,0,0
Norma J. Torres,A,61,DEM,2008,61004,100805,60.51683944248797,61004,1,0
Wendy A. Maier,A,61,REP,2008,33284,100805,33.018203462129854,61004,0,0
Miguel Santiago,A,53,DEM,2014,20472,32225,63.52831652443754,20472,1,0
Sandra Mendoza,A,53,DEM,2014,11753,32225,36.47168347556245,20472,0,0
Miguel Santiago,A,53,DEM,2016,50958,87541,58.210438537371054,50958,1,1
Sandra Mendoza,A,53,DEM,2016,36583,87541,41.78956146262894,50958,0,0
Mike A. Gipson,A,64,DEM,2016,86419,117719,73.41125901511226,86419,1,0
Theresa Sanford,A,64,REP,2016,31300,117719,26.588740984887743,86419,0,0
Mike Davis,A,48,DEM,2010,50825,50825,100.0,50825,1,1
Mike Feuer,A,42,DEM,2008,142456,187259,76.074314185166,142456,1,1
Steven Mark Sion,A,42,REP,2008,44803,187259,23.925685814834,142456,0,0
Mike Gatto,A,43,DEM,2010,65350,99117,65.93218115963961,65350,1,0
Sunder Ramani,A,43,REP,2010,33767,99117,34.06781884036038,65350,0,0
Mike Gatto,A,43,DEM,2014,51971,78163,66.4905390018295,51971,1,1
Todd Royal,A,43,REP,2014,26192,78163,33.50946099817049,51971,0,0
Mike Gipson,A,64,DEM,2014,30041,47258,63.56807313047527,30041,1,0
Prophet La'Omar Walker,A,64,DEM,2014,17217,47258,36.43192686952474,30041,0,0
Mike Morrell,A,40,REP,2012,65282,129546,50.39291062634123,65282,1,0
Russ Warner,A,40,DEM,2012,64264,129546,49.60708937365878,65282,0,0
Mike Morrell,A,63,REP,2010,72866,125519,58.05176905488412,72866,1,0
Renea Wickman,A,63,DEM,2010,52653,125519,41.948230945115874,72866,0,0
Mike Morrell,S,23,REP,2016,184470,326003,56.585368846298955,184470,1,0
Ronald J. O'Donnell,S,23,DEM,2016,141533,326003,43.41463115370104,184470,0,0
Mimi Walters,S,37,REP,2012,213086,373681,57.02350400475271,213086,1,0
Steve Young,S,37,DEM,2012,160595,373681,42.976495995247284,213086,0,0
Nancy Skinner,A,14,DEM,2008,162432,162432,100.0,162432,1,0
Nancy Skinner,A,14,DEM,2010,127940,155995,82.01544921311582,127940,1,1
Ryan Hatcher,A,14,REP,2010,28055,155995,17.984550786884196,127940,0,0
Nancy Skinner,S,9,DEM,2016,236133,379706,62.18837732350819,236133,1,0
Sandré R. Swanson,S,9,DEM,2016,143573,379706,37.811622676491815,236133,0,0
