candidate,office,district,party,year,votes,total_votes,vote_share,winning_votes,winner,incumbent
Jennet C. Stebbins,A,17,(W/I),2004,2,110592,0.0018084490740740739,66926,0,0
Nellie McGarry,A,17,REP,2004,43664,110592,39.48206018518518,66926,0,0
Barry Hermanson,A,12,GRN,2006,13174,104116,12.653194513811519,73922,0,0
Fiona Ma,A,12,DEM,2006,73922,104116,70.99965423181835,73922,1,0
Howard Epstein,A,12,REP,2006,17020,104116,16.347151254370125,73922,0,0
Bea Foster,A,71,DEM,2004,54041,174698,30.93395459593126,120657,0,0
Todd Spitzer,A,71,REP,2004,120657,174698,69.06604540406873,120657,1,1
Ben Allen,S,26,DEM,2014,122901,203682,60.339647096945235,122901,1,0
Sandra Fluke,S,26,DEM,2014,80781,203682,39.660352903054765,122901,0,0
Ben Hueso,A,79,DEM,2010,46349,73894,62.72363114731914,46349,1,0
Derrick Roach,A,79,REP,2010,27545,73894,37.27636885268087,46349,0,0
Ben Hueso,A,80,DEM,2012,76225,109485,69.62140932547838,76225,1,0
Derrick W. Roach,A,80,REP,2012,33260,109485,30.37859067452162,76225,0,0
Ben Hueso,S,40,DEM,2014,58880,107277,54.885949457945316,58880,1,0
Rafael Estrada,S,40,DEM,2014,48397,107277,45.11405054205468,58880,0,0
Benjamin Avila,A,29,DEM,2006,35163,117145,30.01664603696274,76719,0,0
John Crockford,A,29,PF,2006,3784,117145,3.230184813692433,76719,0,0
Jonathan Zwickel,A,29,LIB,2006,1479,117145,1.2625378804046266,76719,0,0
Mike Villines,A,29,REP,2006,76719,117145,65.4906312689402,76719,1,1
Benjamin Lopez,A,61,REP,2006,21639,58121,37.23094922661345,36482,0,0
Nell Soto,A,61,DEM,2006,36482,58121,62.76905077338656,36482,1,0
Beth B. Gaines,A,6,REP,2014,94020,143064,65.71883912095286,94020,1,1
Brian Caples,A,6,DEM,2014,49044,143064,34.28116087904714,94020,0,0
Betsy Butler,A,50,DEM,2012,91740,185185,49.53964953964954,93445,0,0
Richard Bloom,A,50,DEM,2012,93445,185185,50.460350460350455,93445,1,0
Betsy Butler,A,53,DEM,2010,73344,146086,50.20604301575784,73344,1,0
Ethan Musulin,A,53,LIB,2010,3446,146086,2.3588844926960832,73344,0,0
Lisa Ann Green,A,53,GRN,2010,6526,146086,4.467231630683296,73344,0,0
Nathan Mintz,A,53,REP,2010,62770,146086,42.96784086086278,73344,0,0
Betty Karnette,A,54,DEM,2004,89987,168232,53.489823576965144,89987,1,0
John Howard Sterne,A,54,LIB,2004,4544,168232,2.701031908317086,89987,0,0
Steven T. Kuykendall,A,54,REP,2004,73701,168232,43.809144514717765,89987,0,0
Betty Karnette,A,54,DEM,2006,69890,115018,60.76440209358536,69890,1,1
Michael A. Jackson,A,54,REP,2006,45128,115018,39.23559790641465,69890,0,0
Bill Batey,A,61,REP,2012,49003,125777,38.96022325226392,76774,0,0
Jose Medina,A,61,DEM,2012,76774,125777,61.03977674773608,76774,1,0
Bill Berryhill,A,26,REP,2008,70620,136560,51.713532513181015,70620,1,0
